Event Title,Event Date,City,Region,Distances,Difficulty,Registration Link,Kind Of Sports,Source
Новогодний забег в Томске,2024-01-01,Томск,Томская,2024 м,ultra,https://tomskmarathon.ru/newyear2024/#new_tab,Running,https://marathonec.ru/
Новогодний Тушинский Подъём,2024-01-01,Москва,Москва,"10 км, 21 км",medium,https://tushino21.com/newyear/#new_tab,Running,https://marathonec.ru/
Забег обещаний,2024-01-01,Вся Россия,,2024 м,ultra,https://marathonec.ru/zabeg-obeschany/,Running,https://marathonec.ru/
Трейл «Шёпот тайги»,2024-01-04,Железногорск,Красноярский,"10 км, 25 км, 7 км",long,https://marathonec.ru/trail-shepot-taigi/,Running,https://marathonec.ru/
Рождественский полумарафон,2024-01-07,Омск,Омская,"10 км, 21 км, 5 км",medium,https://marathonec.ru/rozhdestvensky-polumarafon/,Running,https://marathonec.ru/
Lake Ice Race,2024-01-21,Миасс,Челябинская,"10 км, 20 км",medium,https://marathonec.ru/lake-ice-race/,Running,https://marathonec.ru/
Пробег «Пулково-Пушкин»,2024-01-21,Санкт-Петербург,Санкт-Петербург,"10 км, 21 км, 5 км",medium,https://pushkin-run.ru#new_tab,Running,https://marathonec.ru/
Белый трейл,2024-01-27,Барангол,Алтай,"12 км, 21 км, 36 км",long,https://marathonec.ru/bely-trail/,Running,https://marathonec.ru/
Международный зимний марафон «Дорога жизни»,2024-01-28,Санкт-Петербург,Санкт-Петербург,"42 км, 5 км",long,https://marathonec.ru/doroga-zhizni/,Running,https://marathonec.ru/
Марафон имени В.А. Дутова,2024-02-17,Екатеринбург,Свердловская,"42 км, 5 км",long,https://marathonec.ru/marafon-dutova/,Running,https://marathonec.ru/
Зимний Павловский забег,2024-02-18,Павловск,Санкт-Петербург,"10 км, 21 км, 5 км",medium,https://marathonec.ru/zimny-pavlovsky-zabeg/,Running,https://marathonec.ru/
Nikola-Lenivets Winter Wild Trail,2024-02-18,Никола-Ленивец,Калужская,"11 км, 21 км, 33 км, 50 км",ultra,https://marathonec.ru/nikola-lenivets-winter-wild-trail/,Running,https://marathonec.ru/
Офицерский марафон,2024-02-23,Ростов-на-Дону,Ростовская,42 км,long,https://marathonec.ru/oficerskij-marafon/,Running,https://marathonec.ru/
Эстафета поколений,2024-02-24,Лермонтов,Ставропольский,"14 км, 2 км, 4 км, 7 км",medium,https://russiarunning.com/event/ESTAFETAPOKOLENIY2024/#new_tab,Running,https://marathonec.ru/
Krasnoyarsk Winter Trail Fest,2024-02-24,Красноярск,Красноярский,"100 км, 21 км, 46 км, 5 км",ultra,https://marathonec.ru/krasnoyarsk-winter-trail-fest/,Running,https://marathonec.ru/
Winter Altai Ultra-Trail (AUT),2024-03-01,Тюнгур,Алтай,65 км,ultra,https://marathonec.ru/winter-altai-ultra-trail-aut/,Running,https://marathonec.ru/
Baikal Ice Trail,2024-03-02,Иркутск,Иркутская,"10 км, 22 км",medium,https://marathonec.ru/baikal-ice-trail/,Running,https://marathonec.ru/
Onego Ice Ultra,2024-03-03,Ялгора,,"10 км, 20 км, 5 км, 50 км",ultra,https://marathonec.ru/onego-ice-ultra/,Running,https://marathonec.ru/
Зимний горный трейл «Аврора»,2024-03-23,Кандалакша,Мурманская,"13 км, 30 км, 42 км",long,https://marathonec.ru/gorniy-aurora-trail/,Running,https://marathonec.ru/
Десятка PushkinRun,2024-03-24,Санкт-Петербург,Санкт-Петербург,10 км,light,https://pushkin-run.ru#new_tab,Running,https://marathonec.ru/
DAB Mix Mountain Race,2024-03-24,Москва,Москва,,Unknown,https://dab-running.ru#new_tab,Running,https://marathonec.ru/
Ночной забег в Красноярске,2024-03-30,Красноярск,Красноярский,"2 км, 5 км",light,https://marathonec.ru/nochnoj-zabeg-v-krasnoyarske/,Running,https://marathonec.ru/
Фестиваль трейлраннинга «Бештаугорский Крест»,2024-04-06,Пятигорск,Ставропольский,"14 км, 16 км, 8 км",medium,https://marathonec.ru/trail-beshtaugorsky-krest/,Running,https://marathonec.ru/
Забег «Апрель»,2024-04-07,Москва,Москва,5 км,light,https://marathonec.ru/zabeg-aprel/,Running,https://marathonec.ru/
Весенний кросс «Быстрый пёс»,2024-04-13,Москва,Москва,2 км,light,https://marathonec.ru/kross-bystry-pes/,Running,https://marathonec.ru/
Космический марафон в Томске,2024-04-14,Томск,Томская,"10 км, 21 км, 3 км, 42 км",long,https://marathonec.ru/kosmichesky-marafon-tomsk/,Running,https://marathonec.ru/
Арена Полумарафон,2024-04-14,Санкт-Петербург,Санкт-Петербург,"10 км, 21 км, 5 км",medium,https://marathonec.ru/arena-polumarafon/,Running,https://marathonec.ru/
Весенний кросс «Лисья гора»,2024-04-14,Москва,Москва,"2 км, 4 км, 6 км, 8 км",light,https://marathonec.ru/kross-lisiya-gora/,Running,https://marathonec.ru/
Dagestan Wild Trail,2024-04-20,Махачкала,Дагестан,"120 км, 15 км, 35 км, 65 км",ultra,https://marathonec.ru/dagestan-wild-trail/,Running,https://marathonec.ru/
Псковский марафон,2024-04-21,Псков,Псковская,"1 км, 10 км, 21 км, 42 км, 5 км",long,https://marathonec.ru/pskovskiy-marathon/,Running,https://marathonec.ru/
Московский полумарафон 2024,2024-04-29,Москва,Москва,"21 км, 5 км",medium,https://marathonec.ru/moskovsky-polumarafon-gid/,Running,https://marathonec.ru/
Полумарафон «Мстинские пороги»,2024-05-02,Боровичи,Новгородская,"10 км, 21 км, 3 км, 5 км",medium,https://reg.o-time.ru/start/22149#new_tab,Running,https://marathonec.ru/
Забег «Пантеон»,2024-05-05,Крымгиреевское,Ставропольский,"10 км, 2 км, 21 км, 5 км",medium,https://russiarunning.com/event/RaceonDeerFarmPanteon/#new_tab,Running,https://marathonec.ru/
Казанский марафон,2024-05-12,Казань,Татарстан,"10 км, 21 км, 3 км, 42 км",long,https://marathonec.ru/kazan-marathon-gid/,Running,https://marathonec.ru/
O-Trail «Стрижамент ВЭС»,2024-05-12,Невинномысск,Ставропольский,"10 км, 20 км, 5 км, 50 км",ultra,https://russiarunning.com/event/OTRAILSTRIZhAMENTVES/#new_tab,Running,https://marathonec.ru/
Caucasus Backyard Ultra,2024-05-18,Владикавказ,Северная Осетия - Алания,"160 км, 20 км, 40 км, 6 км",ultra,https://russiarunning.com/event/backyard2024/#new_tab,Running,https://marathonec.ru/
"Благотворительный полумарафон «Беги, герой!»",2024-05-19,Нижний Новгород,Нижегородская,"10 км, 21 км, 5 км",medium,https://www.runhero.ru/#new_tab,Running,https://marathonec.ru/
O-Trail Марафон Алания,2024-05-19,Кобан,Северная Осетия - Алания,"10 км, 21 км, 42 км, 5 км",long,https://russiarunning.com/event/OTRAILMARAFONALANIYa/#new_tab,Running,https://marathonec.ru/
Майский трейл,2024-05-25,Белокуриха,Алтайский,"17 км, 33 км, 50 км, 8 км",ultra,https://marathonec.ru/maiskiy-trail/,Running,https://marathonec.ru/
Alol Ultra Extreme,2024-05-25,Алоль,Псковская,"10 км, 100 км, 20 км, 3 км, 42 км, 5 км",ultra,https://edge-ultra.ru#new_tab,Running,https://marathonec.ru/
Yalgora Vertical,2024-05-25,Ялгора,,"1 км, 3 км, 5 км",light,https://reg.o-time.ru/start/24032#new_tab,Running,https://marathonec.ru/
Sport-Marafon Fest,2024-06-07,Никола-Ленивец,Калужская,"10 км, 100 км, 17 км, 32 км, 47 км, 60 км",ultra,https://marathonec.ru/sport-marafon-fest/,Running,https://marathonec.ru/
Байкальский марафон,2024-06-09,Иркутск,Иркутская,"10 км, 21 км, 42 км",long,http://baikalmarathons.ru#new_tab,Running,https://marathonec.ru/
Красочный забег,2024-06-09,Москва,Москва,5 км,light,https://marathonec.ru/krasochny-zabeg/,Running,https://marathonec.ru/
Ультрамарафон Crazy Owl 50,2024-06-15,Воронеж,Воронежская,"20 км, 50 км",ultra,https://marathonec.ru/crazy-owl/,Running,https://marathonec.ru/
Ptz Backyard Ultra,2024-06-15,Петрозаводск,Карелия,,Unknown,https://reg.o-time.ru/start/24007#new_tab,Running,https://marathonec.ru/
Экиден PushkinRun,2024-06-16,Санкт-Петербург,Санкт-Петербург,42 км,long,https://pushkin-run.ru#new_tab,Running,https://marathonec.ru/
O-Trail Дигория,2024-06-16,Стур-Дигора,Северная Осетия - Алания,"22 км, 35 км, 60 км, 9 км",ultra,https://marathonec.ru/o-trail-digoriya/,Running,https://marathonec.ru/
RUTS Нижний Новгород,2024-06-16,Нижний Новгород,Нижегородская,"10 км, 5 км",light,https://ruts.run#new_tab,Running,https://marathonec.ru/
Красочный забег в Красноярске,2024-06-22,Красноярск,Красноярский,"2 км, 5 км",light,https://marathonec.ru/krasochnyj-zabeg-v-krasnoyarske/,Running,https://marathonec.ru/
Балтийский трейл «Белые ночи»,2024-06-22,Сестрорецк,Санкт-Петербург,"1 км, 10 км, 21 км, 5 км",medium,https://marathonec.ru/baltijskij-trejl-belye-nochi/,Running,https://marathonec.ru/
Международный марафон «Алые паруса»,2024-06-23,Санкт-Петербург,Санкт-Петербург,"10 км, 21 км, 42 км, 5 км, 63 км",ultra,https://russiarunning.com/event/SCARLETSAILS2024/#new_tab,Running,https://marathonec.ru/
Altai Ultra-Trail (AUT),2024-06-28,Тюнгур,Алтай,"110 км, 23 км, 43 км, 70 км, 8 км",ultra,https://marathonec.ru/altai-ultra-trail/,Running,https://marathonec.ru/
Марафон «Белые ночи»,2024-06-29,Санкт-Петербург,Санкт-Петербург,"10 км, 42 км",long,https://marathonec.ru/marafon-belye-nochi/,Running,https://marathonec.ru/
Arkhyz Wild Trail,2024-06-29,Архыз,Карачаево-Черкесская,"14 км, 18 км, 33 км, 35 км, 48 км, 52 км",ultra,https://marathonec.ru/arkhyz-wild-trail/,Running,https://marathonec.ru/
Фестиваль бега «Кудыкина Гора Trail»,2024-07-06,Задонск,Липецкая,"10 км, 15 км, 33 км, 5 км, 50 км",ultra,https://marathonec.ru/trail-kudykina-gora/,Running,https://marathonec.ru/
Трейл Хибины,2024-07-06,Кировск,Мурманская,"100 км, 17 км, 42 км, 5 км, 65 км",ultra,https://marathonec.ru/trail-khibiny/,Running,https://marathonec.ru/
Забег «Женская семёрка»,2024-07-07,Красноярск,Красноярский,"2 км, 7 км",light,https://marathonec.ru/zabeg-zhenskaya-semerka/,Running,https://marathonec.ru/
Ночной забег в Москве,2024-07-13,Москва,Москва,10 км,light,https://marathonec.ru/nochnoy-zabeg-moskva/,Running,https://marathonec.ru/
Уфимский лесной марафон,2024-07-14,Уфа,Башкортостан,"10 км, 21 км, 42 км",long,https://russiarunning.com/event/UFIMSKIYLESNOYMARAFON2024/#new_tab,Running,https://marathonec.ru/
Karelia Swamp Ultra,2024-07-14,Петрозаводск,Карелия,"10 км, 20 км, 50 км",ultra,https://marathonec.ru/karelia-swamp-ultra/,Running,https://marathonec.ru/
Golden Ring Ultra-Trail,2024-07-19,Суздаль,Владимирская,"10 км, 100 км, 20 км, 3 км, 30 км, 5 км, 50 км, 80 км",ultra,https://marathonec.ru/golden-ring-ultra-trail/,Running,https://marathonec.ru/
Manul Trail,2024-07-20,Кош-Агач,Алтай,"13 км, 27 км, 45 км",ultra,https://russiarunning.com/event/MANULTRAIL2024?search_ce=1#new_tab,Running,https://marathonec.ru/
Gesh Run Fest,2024-07-27,Шерегеш,Кемеровская область - Кузбасс,"18 км, 29 км, 53 км, 7 км",ultra,https://marathonec.ru/gesh-run-fest/,Running,https://marathonec.ru/
Ночной забег в столице закатов,2024-07-27,Нижний Новгород,Нижегородская,"10 км, 2 км, 5 км",light,https://nightrunning.ru#new_tab,Running,https://marathonec.ru/
BUTMAN (Biotropika Ultra Trail),2024-07-27,Коробицыно,Ленинградская,,Unknown,https://marathonec.ru/butman-biotropika-ultra-trail/,Running,https://marathonec.ru/
Ultra 100,2024-08-03,Волжский,Москва,"1 км, 10 км, 30 км, 51 км, 6 км",ultra,https://marathonec.ru/fest-ultra100/,Running,https://marathonec.ru/
СПб полумарафон «Северная cтолица» 2024,2024-08-04,Санкт-Петербург,Санкт-Петербург,"10 км, 21 км",medium,https://marathonec.ru/spb-polumarafon-severnaya-stolica-gid/,Running,https://marathonec.ru/
Malidak Ultra,2024-08-09,Белорецк,Башкортостан,"101 км, 12 км, 13 км, 21 км, 25 км, 40 км, 5 км, 78 км",ultra,https://marathonec.ru/malidak-ultra/,Running,https://marathonec.ru/
Ультрамарафон «Пещерные города»,2024-08-10,Бахчисарай,Крым,"100 км, 15 км, 2 км, 28 км, 55 км, 6 км, 80 км",ultra,https://orgeo.ru/event/29746#new_tab,Running,https://marathonec.ru/
Полумарафон «Лужники» 2024,2024-08-18,Москва,Москва,21 км,medium,https://marathonec.ru/polumarafon-luzhniki-gid/,Running,https://marathonec.ru/
Риеккалансаари трейл,2024-08-23,Риеккалансаари,Карелия,"12 км, 25 км, 35 км, 55 км, 7 км, 80 км",ultra,https://marathonec.ru/riekkalansaari-trail/,Running,https://marathonec.ru/
Ночной забег PushkinRun,2024-08-24,Санкт-Петербург,Санкт-Петербург,"10 км, 5 км",light,https://pushkin-run.ru#new_tab,Running,https://marathonec.ru/
Красмарафон «Жара»,2024-08-25,Красноярск,Красноярский,"10 км, 2 км, 21 км, 5 км",medium,https://marathonec.ru/krasmarafon-zhara/,Running,https://marathonec.ru/
Fury Trail,2024-08-25,Ангарск,Иркутская,"12 км, 22 км",medium,http://angtrl.tilda.ws/fury#new_tab,Running,https://marathonec.ru/
Экиден PushkinRun Москва,2024-08-25,Москва,Москва,42 км,long,https://pushkin-run.ru#new_tab,Running,https://marathonec.ru/
Благотворительный забег «Спорт во благо»,2024-08-31,Нижний Новгород,Нижегородская,"1 км, 3 км",light,https://vk.com/sportvoblagonn#new_tab,Running,https://marathonec.ru/
Vottovaara Mountain Race,2024-09-07,Гимолы,Карелия,"100 миль, 14 км, 50 миль, 55 км",ultra,https://marathonec.ru/vottovaara-mountain-race/,Running,https://marathonec.ru/
Большая Катунская тропа,2024-09-09,Тюнгур,Алтай,215 км,ultra,https://altai-trail.ru#new_tab,Running,https://marathonec.ru/
Пробег «Пушкин – Санкт-Петербург» 2024,2024-09-15,Санкт-Петербург,Санкт-Петербург,"10 км, 30 км, 42 км, 5 км",long,https://marathonec.ru/pushkin-peterburg-gid/,Running,https://marathonec.ru/
Марафон «Джейрах»,2024-09-21,Армхи,Ингушетия,"21 км, 4 км, 42 км, 8 км",long,https://marathonec.ru/marathon-dzheirah/,Running,https://marathonec.ru/
Горный ультрамарафон White Bride Ultra,2024-09-28,Геленджик,Краснодарский,"120 км, 15 км, 3 км, 30 км, 50 км, 70 км",ultra,https://marathonec.ru/white-bride-ultra/,Running,https://marathonec.ru/
Осенний кросс «Быстрый пёс»,2024-09-28,Москва,Москва,2 км,light,https://marathonec.ru/kross-bystry-pes-osen/,Running,https://marathonec.ru/
X Trail Красмарафон,2024-09-29,Красноярск,Красноярский,"10 км, 2 км",light,https://marathonec.ru/x-trail-krasnoyarsk/,Running,https://marathonec.ru/
"Международный Балтийский марафон «Вера, Надежда, Любовь»",2024-09-29,Санкт-Петербург,Санкт-Петербург,"10 км, 21 км, 42 км, 5 км, 63 км",ultra,https://russiarunning.com/event/BalticOrden2024/#new_tab,Running,https://marathonec.ru/
Осенний кросс «Лисья гора»,2024-09-29,Москва,Москва,"2 км, 4 км, 6 км, 8 км",light,https://marathonec.ru/kross-lisya-gora-osen/,Running,https://marathonec.ru/
Октобертрейл,2024-10-06,Новосибирск,Новосибирская,"10 км, 21 км",medium,https://marathonec.ru/october-trail/,Running,https://marathonec.ru/
